Year,Jubilee,Traditional,Renting
1,451708,493559,566718
2,513877,603285,702440
3,579473,718479,846710
4,648710,839463,1000109
5,721814,966582,1163260
6,799027,1102687,1339318
7,880610,1248424,1529252
8,966838,1404483,1734103
9,1058005,1571606,1954988
10,1154427,1750587,2193108
11,1256439,1942279,2449752
12,1364400,2147593,2726303
13,1478692,2367510,3024247
14,1599724,2603080,3345179
15,1727933,2855429,3690812
16,1863785,3125765,4062984
17,2007779,3415381,4463670
18,2160445,3725666,4894987
19,2322353,4058109,5359212
20,2494109,4414305,5858787
21,2676364,4795967,6396332
22,2869809,5204929,6974663
23,3075187,5642153,7596800
24,3293290,6109253,8265986
25,3524964,6607628,8985038
26,3771115,7139291,9757497
27,4032710,7706487,10587260
28,4310785,8311791,11478504
29,4606444,8959547,12435712
30,4920872,9652757,13463689
31,5198588,10334285,14506128
32,5494041,11064592,15625577
33,5808441,11847192,16827645
34,6143087,12685847,18118347
35,6499367,13584595,19504133
36,6878767,14547765,20991921
37,7282882,15579996,22589131
38,7713416,16686265,24303720
39,8172194,17871906,26144220
40,8661173,19142638,28119784
41,9182447,20504595,30240225
42,9738258,21964351,32516068
43,10331009,23528959,34958602
44,10963273,25205975,37579929
45,11637807,27003507,40393033
46,12357563,28930244,43411832
47,13125704,30995504,46651257
48,13945618,33209279,50127316
49,14820935,35582281,53857178
50,15755545,38125997,57859255
